SITE_ID,YEAR,VISIT_NO,XBKA,XUN,XBKF_W,XBKF_H,XINC_H,XPCM,XPCMG,XPMG,XPMGH,XPMGW,XCL,XGB,XC,XG,XCMW,XCMGW,PCAN_C,XCDENBK,XCDENMID,XEMBED,XFC_ALG,XFC_AQM,XFC_LWD,XFC_BRS,XFC_OHV,XFC_UCB,XFC_RCK,XFC_HUM,XFC_ALL,XFC_NAT,XFC_BIG,W1_HALL,W1_HNOAG,W1_HAG,W1H_WALL,W1H_PIPE,LSUB_DMM,LTEST,LRBS_TST,LDMB_BW5,LRBS_BW5,REACHLEN,XSLOPE,XDEPTH,RPGT75,RPGT100,RPMXDEP,RPXAREA,RP100,PCT_FN,PCT_SA,PCT_HP,PCT_RC,PCT_SAFN,PCT_SFGF,PCT_BIGR,PCT_BDRK,PCT_ORG,LSUBD_SD,V1W_MSQ,V4W_MSQ,V1TM100,V4TM100,SINU,SDDEPTH,XWIDTH,XWXD,XWD_RAT,SDWXD,PCT_FA,PCT_FAST,PCT_SLOW,PCT_POOL,PCT_DRS,PCT_SIDE,SAMPLED 
WAZP99-0512,2000,1,42.31818182,0,89.09090909,3,6,0.454545455,0.454545455,0.863636364,0.136363636,0.545454546,0.020454546,0.093181818,0.043181818,0.198863636,0.093181818,0.145454546,0,73.52941177,0.534759358,94,0.086363636,0.104545455,0,0,0.059090909,0,0.027272727,0,0.086363636,0.086363636,0.027272727,1.954554546,0.454554546,1.5,0,0,-1.388367728,1.297492128,-2.685859857,2.318042217,-3.706409945,514.8,0.93,31.14,0,0,49.668,1.330155176,4.650892224,81.90476191,0,0,0,81.90476191,81.90476191,18.0952381,0,0,1.549513472,0,0,0,0,1.067344695,9.666165086,19.26,6.1607,64.59864399,3.099370023,0,26,74,1,0,0,YES 
WAZP99-0539,2000,1,34.18181818,0.012142857,24.45454546,1.445454546,8.909090909,0.954545455,0.954545455,0.954545455,0.863636364,0.818181818,0.240909091,0.306818182,0.459090909,0.190909091,0.595454546,0.654545455,0,86.36363636,27.67379679,55.92592593,0.045454546,0.022727273,0.136363636,0.159090909,0.059090909,0.022727273,0.593181818,0,0.970454546,0.970454546,0.752272727,0.719727273,0.719727273,0,0,0.386377273,1.39577107,1.69389079,-0.298119719,2.330920133,-0.935149063,148.5,1.8,40.08,0,0,34.64,1.240837953,10.86255447,21.90476191,2.857142857,0,0,24.76190476,28.57142857,70.47619048,0,0.952380952,2.027183008,0,0,0,0,1.005037126,11.71865473,10.815,4.7428,26.46176226,3.049618641,0,43,57,38,0,0,YES 
WAZP99-0545,2000,1,25.5,0.040909091,28.18181818,0.545454546,1.636363636,0,0,0,0,0,0,0,0,0.628409091,0,0,0,0,0,63.36363636,0,0.068181818,0,0,0,0.059090909,0.204545455,0,0.263636364,0.263636364,0.263636364,1.136363636,0,1.136363636,0,0,1.072437357,0.759276501,0.313160856,1.263192841,-0.190755484,148.5,0.38,22.07,0,0,27.2275,1.021643932,6.191781404,19.04761905,0,0,0,19.04761905,19.04761905,80.95238095,0,0,1.615225302,0,0,0,0,1.14290921,10.96942951,3.785,0.96905,18.514358,1.019799592,0,16,84,43,0,0,YES 
WAZP99-0551,2000,1,26.36363636,0,48.18181818,3.454545455,3.454545455,0.863636364,0.727272727,0.727272727,0,0.545454546,0.222727273,0.343181818,0.322727273,0.052272727,0.393181818,0.427272727,0,100,100,76.45454546,0.261363636,0.018181818,0.086363636,0.159090909,0.068181818,0.009090909,0.290909091,0,0.613636364,0.613636364,0.386363636,0,0,0,0,0,1.837495663,1.60329164,0.234204023,2.898278208,-1.060782546,148.5,3.2,18.3,0,0,22.62,0.166571936,2.80424134,12,0,0,0,12,12,84,0,4,1.579113656,4.05311E-05,0,0.273400673,0,1.081043519,5.719892632,2.661,0.52959,14.35097966,0.385491612,0,94.94949495,5.050505051,5.050505051,0,0,YES 
WAZP99-0568,2000,1,39.31818182,0.013636364,24.81818182,1.072727273,3.881818182,0.818181818,0.818181818,0.954545455,0.954545455,0.5,0.025,0.427272727,0.068181818,0.086363636,0.106818182,0.134090909,0,48.39572193,17.78074866,80.36363636,0.05,0.140909091,0,0.040909091,0.013636364,0.009090909,0.152272727,0,0.215909091,0.215909091,0.161363636,0,0,0,0,0,0.205510418,1.266925637,-1.061415218,2.108128037,-1.902617619,148.5,1.6,16.87,0,0,27.1,0.659642834,7.107262858,45.71428571,1.904761905,0,0,47.61904762,56.19047619,40.95238095,0,0.952380952,2.313681428,0,0,0,0,1.011667082,8.439511451,2.415,0.4576,16.38402247,0.452276511,0,50,50,44.44444444,0,24,YES 
WAZP99-0569,2000,1,58.45454546,0.034090909,5.227272727,0.845454546,2.5,1,1,1,1,1,0.373863636,0.379545455,0.451136364,0.432954546,0.742045455,0.819318182,0,97.86096257,91.44385027,30.4,0,0,0.281818182,0.243181818,0.068181818,0.004545455,0.484090909,0,1.081818182,1.081818182,0.770454546,0,0,0,0,0,2.229462928,2.081779374,0.147683554,2.777388713,-0.547925785,148.5,10.83,16.27272727,0,0,38.5175,0.222203125,3.591161616,2.857142857,1.904761905,0,0,4.761904762,4.761904762,88.57142857,0,6.666666667,1.024277171,0.082452818,0.063546538,95.2962963,65.50841751,1.125073727,10.39408994,2.455,0.41985,18.51969185,0.357160332,0,53.53535354,45.45454546,34.34343434,1.01010101,0,YES 
WAZP99-0598,2000,1,57.27272727,0.08125,20.36363636,3.909090909,4,1,0.9,0.9,0.047619048,0.857142857,0.5,0.252272727,0.765909091,0.097727273,0.864772727,0.907954546,0,92.78074866,75.40106952,41.36363636,0.013636364,0.059090909,0.165909091,0.122727273,0.009090909,0.013636364,0.847727273,0,1.159090909,1.159090909,1.027272727,0,0,0,0,0,2.535586237,1.995966974,0.539619263,3.154467808,-0.618881571,148.5,5.1,28.36,1,0,78.5375,0.818653969,10.47436055,4.761904762,0,0,0,4.761904762,6.666666667,92.38095238,0,0.952380952,1.16221765,0.001403109,0.000962632,3.018855219,1.96026936,1.109097486,16.88973151,3.795,1.1323,17.79712307,1.119566979,0,74.74747475,25.25252525,12.12121212,0,6,YES 
WAZP99-0605,2000,1,21.13636364,0,52,1,2.045454546,0,0,1,0,0.954545455,0,0.447727273,0,0.125,0.254545455,0.302272727,0,65.50802139,18.44919786,67.18181818,0.018181818,0,0,0.013636364,0.036363636,0,0.2,0,0.25,0.25,0.2,1.5,0,1.5,0,0,1.405452321,0.712445173,0.693007148,1.516927769,-0.111475449,148.5,0.43,17.51,0,0,30.3975,0.672034615,5.883131313,18.0952381,0,0,0,18.0952381,18.0952381,81.90476191,0,0,1.704903658,0,0,0,0,1.02993153,8.797950863,4.92,0.88155,33.67337338,0.453394968,0,26,74,49,0,0,YES 
WAZP99-0615,2000,1,38.09090909,0,3.954545455,0.636363636,1.954545455,0.909090909,0.909090909,1,0,1,0.081818182,0.322727273,0.152272727,0.345454546,0.392045455,0.542045455,0,95.98930481,87.29946524,37.61818182,0.004545455,0,0.054545455,0.05,0.379545455,0.004545455,0.875,0,1.363636364,1.363636364,0.934090909,1,0,1,0,0,2.196267461,1.422286877,0.773980584,2.266003379,-0.069735918,148.5,4.52,8.54,0,0,51.75,0.306118421,3.916666667,3.80952381,0,0,0,3.80952381,3.80952381,92.38095238,0,3.80952381,1.039486324,0.043347808,0.020999574,21.76094276,10.26464647,1.24146699,9.775686186,0.769,0.10887,7.867239819,0.130099282,0,12,69,56,19,0,YES 
WAZP99-0619,2000,1,24.36363636,0,27,0.740909091,4.590909091,0.363636364,0.363636364,1,0.045454546,1,0.018181818,0.328409091,0.018181818,0.342045455,0.222727273,0.345454546,0,62.29946524,3.475935829,69, ,0.847727273,0.05,0.05,0.122727273,0,0.25,0,0.472727273,0.472727273,0.3,0.33335,0.33335,0,0,0,0.514986631,1.452902763,-0.937916132,1.772328695,-1.257342064,633.6,0.73,56.74,1,1,104.192,4.375341272,12.4299468,33.65384615,0,0,0,33.65384615,33.65384615,66.34615385,0,0,1.905027848,0.00005448,0,0.14709596,0,1.023059463,26.46691092,17.16,11.1268,33.9790217,9.350951793,0,26,74,21,0,0,YES 
WCAP99-0503,2000,1,30.22727273,0,19.66363636,0.618181818,0.618181818,0.909090909,0.909090909,1,0.181818182,1,0.138636364,0.654545455,0.240909091,0.352272727,0.520454546,0.829545455,0.863636364,78.87700535,36.89839572,31.27272727,0.1,0,0.009090909,0.022727273,0.031818182,0.009090909,0.379545455,0,0.452272727,0.452272727,0.397727273,0,0,0,0,0,2.719755148,2.101050924,0.618704224,2.444471577,0.27528357,237.6,4.6,40.05,1,1,127.808,1.420233119,13.15030665,0,2.857142857,0,0,2.857142857,2.857142857,97.14285714,20.95238095,0,0.88267444,0.002025864,0.000623063,7.857744108,2.4503367,1.078498412,26.53808965,13.61,5.46025,45.02654023,5.180184592,0,52,48,27,0,0,YES 
WCAP99-0505,2000,1,28.59090909,0,18.58181818,0.563636364,0.563636364,0.714285714,0.714285714,1,0.619047619,1,0.125,0.653409091,0.3125,0.319318182,0.672727273,0.930681818,0,78.87700535,49.86631016,23.72727273,0.013636364,0,0.004545455,0.013636364,0.022727273,0,0.338636364,0,0.379545455,0.379545455,0.343181818,0.57422381,0.57422381,0,0,0,2.539977701,1.977051614,0.562926087,2.229414142,0.310563559,484.8,2.421,57.19607843,2,2,184.0752,2.444503894,11.09304572,0,0,0,0,0,0,100,4.761904762,0,0.583374959,0.001006276,0.000555256,1.919348185,1.031765677,1.611254718,31.28408295,14.775,7.55065,32.65256494,2.817348217,0,79.41176471,20.58823529,6.862745098,0,0,YES 
WCAP99-0506,2000,1,52.63636364,0.022727273,13.72727273,0.418181818,0.418181818,0.904761905,0.904761905,1,1,1,0.106818182,0.542045455,0.313636364,0.511363636,0.643181818,0.747727273,0.590909091,62.03208556,17.24598931,45.36363636,0,0.072727273,0.009090909,0.018181818,0.068181818,0.031818182,0.361363636,0,0.488636364,0.488636364,0.402272727,1.818190909,0.318190909,1.5,0,0,1.971787931,1.684101399,0.287686532,2.04734164,-0.07555371,400,2.4,29.39,0,0,39.24,0.502592,3.1412,3.80952381,7.619047619,0,0,11.42857143,14.28571429,85.71428571,0.952380952,0,1.276277793,0.001170844,0,2.2325,0,1.026564964,9.08200018,11.42,3.1994,44.24802491,1.002624524,0,72,28,1,0,11,YES 
WCAP99-0515,2000,1,33.81818182,0.027272727,13.42727273,0.772727273,0.772727273,0.681818182,0.636363636,0.863636364,0.5,0.863636364,0.040909091,0.818181818,0.086363636,0.125,0.168181818,0.229545455,0,61.22994652,31.28342246,40.72727273,0.070454546,0,0.004545455,0.004545455,0.022727273,0.004545455,0.147727273,0,0.184090909,0.184090909,0.156818182,1.045490909,1.045490909,0,0,0,2.091715999,1.860926166,0.230789833,1.818384991,0.273331008,158.4,0.785,135.01,2,2,251.724,20.33007163,89.84248825,0,15.23809524,0,0,15.23809524,20,80,20,0,1.374264297,0.000140111,0,0.224747475,0,1.077769347,85.58810158,9.705,15.47445,9.849611963,12.83836866,0,39,61,30,0,0,YES 
WCAP99-0521,2000,1,20.36363636,0,12.66363636,0.472727273,0.472727273,0.363636364,0.363636364,0.954545455,0.954545455,0.954545455,0.085227273,0.690909091,0.153409091,0.351136364,0.421590909,0.659090909,0.272727273,64.70588235,40.37433155,42.14545455,0.031818182,0,0.009090909,0.004545455,0.013636364,0.009090909,0.320454546,0,0.356818182,0.356818182,0.338636364,0.136363636,0.136363636,0,0,0,2.189825606,1.828536249,0.361289357,2.131255908,0.058569698,252,2.6015,37.81132076,0,0,61.4533,0.72132726,6.583542449,0,4.761904762,0,0,4.761904762,11.42857143,88.57142857,5.714285714,0,0.93640334,0.012915371,0.012516152,16.47063492,15.85,1.192833986,12.91961463,7.435,2.71755,21.52384294,0.664508404,0,90.56603774,9.433962264,5.660377359,0,0,YES 
WCAP99-0534,2000,1,46.90909091,0.059090909,8.472727273,0.981818182,0.981818182,0.772727273,0.772727273,1,0.818181818,1,0.025,0.453409091,0.181818182,0.209090909,0.688636364,0.738636364,0,87.43315508,62.43315508,54.21568628,0.072727273,0.184090909,0,0.040909091,0.281818182,0.036363636,0.254545455,0,0.613636364,0.613636364,0.290909091,0.477272727,0.477272727,0,0,0,1.318369476,2.087269301,-0.768899824,2.443566407,-1.125196931,158.4,3.135,56.93,1,1,205.878,3.138217111,25.75556973,0,38.0952381,0,0,38.0952381,40.95238095,59.04761905,1.904761905,0,1.491845489,0.000222043,0,0.486111111,0,1.058529068,52.92175566,5.82,4.95565,11.13554251,8.506354314,0,75,25,13,0,100,YES 
WCAP99-0535,2000,1,22.45454546,0.011363636,17.61,0.386363636,0.386363636,0.380952381,0.380952381,1,0.904761905,0.904761905,0.034090909,0.636363636,0.115909091,0.423863636,0.347727273,0.456818182,0,61.76470588,22.05882353,77.36363636,0.575,0.545454546,0.009090909,0.009090909,0.040909091,0.027272727,0.054545455,0.004545455,0.145454546,0.140909091,0.095454546,1.946972727,0.712122727,1.23485,0.272727273,0,-0.012310918,1.36297583,-1.375286747,1.632996827,-1.645307745,240,1,33.67326733,0,0,44.896,1.276608,9.57456,53.33333333,0.952380952,16.19047619,0,54.28571429,60.95238095,20.95238095,0,0,2.429171194,0.000147407,0,0.28375,0,1.012815308,12.6626292,12.39,3.4145,49.13320325,1.113062229,0,44.55445545,55.44554455,1.98019802,0,0,YES 
WCAP99-0536,2000,1,53.04545455,0.022727273,11.26,0.375454546,0.375454546,0.909090909,0.909090909,1,0.954545455,0.954545455,0.043181818,0.693181818,0.261363636,0.325,0.602272727,0.722727273,0, , ,28.09090909,0.05,0.009090909,0,0.004545455,0.077272727,0.036363636,0.397727273,0,0.515909091,0.515909091,0.434090909,0,0,0,0,0,2.36027157,2.037425676,0.322845894,2.173650968,0.186620603,163.2,3.25,48.96116505,0,0,73.08,2.650277933,19.48733775,0,5.714285714,0,0,5.714285714,8.571428571,90.47619048,4.761904762,0,0.944775515,9.46871E-05,0,0.694852941,0,1.010219309,23.1626484,8.79,4.4292,20.55634038,2.837849345,0,46.60194175,53.39805825,37.86407767,0,0,YES 
WCAP99-0539,2000,1,37.31818182,0.009090909,3.536363636,0.336363636,0.336363636,1,1,1,1,0.55,0.479545455,0.5375,0.785227273,0.286363636,1.085227273,1.148863636,0,90.52287582,93.79084967,55.55555556,0,0.022222222,0.022222222,0.072222222,0.083333333,0.005555556,0.572222222,0,0.755555556,0.755555556,0.6,0.454554546,0.454554546,0,0.181818182,0.090909091,1.45050333,1.3570902,0.09341313,2.050187833,-0.599684503,148.5,4.4,7.55,0,0,29.68,0.2412625,3.899191919,8.988764045,38.20224719,0,0,47.19101124,47.19101124,52.80898876,34.83146067,0,2.190879505,0.000220889,0,0.078114478,0,1.22913495,8.490487845,0.728571429,0.081,12.33001867,0.105715183,0,24,52,44,24,0,YES 
WCAP99-0540,2000,1,18.72727273,0,8.381818182,0.445454546,0.445454546,0.181818182,0.181818182,1,0.545454546,0.954545455,0.025,0.610227273,0.029545455,0.242045455,0.367045455,0.447727273,0.181818182,41.17647059,21.79144385,92.12765957,0.004545455,0.004545455,0,0,0.009090909,0,0.045454546,0,0.054545455,0.054545455,0.045454546,0.742454546,0,0.742454546,0,0,0.113379824,0.592230673,-0.478850849,1.598935821,-1.485555997,153,1.2,4.757281553,0,0,7.37,0.048848278,0.98973635,1.904761905,68.57142857,0,0,70.47619048,81.90476191,18.0952381,0,0,1.068367907,0,0,0,0,1.016559014,2.134984132,2.74,0.13215,68.7,0.089362229,0,16.50485437,83.49514563,0,0,73.78640777,YES 
