SITE_ID,YEAR,VISIT_NO,LOC_NAME,DATE_COL,TEAM_ID,XSTATUS,VALXSTAT,SITESAMP,MLAT_DD,MLON_DD,XLAT_DD,XLON_DD,MLAT_DEG,MLAT_MIN,MLAT_SEC,MLON_DEG,MLON_MIN,MLON_SEC,XLAT_DEG,XLAT_MIN,XLAT_SEC,XLON_DEG,XLON_MIN,XLON_SEC,XDIMEN,XGPSCOOR,VER_STAT,GPS_VER,LOC_VER,SIG_VER,RDS_VER,TOP_VER,OTH_VER,RCHWIDTH,RCHUP,RCHDOWN,RCHLEN,COM_IM,STATE,TRCHLEN,XLONDD 
WAZP99-0512,2000,1,GILA RIVER,6/4/00,1,SAMPLEABLE,WADEABLE,Y,32.87094,-109.19751,32.870833,-109.198611,32,52,15,109,11,51,32,52,15,109,11,55,3D,Y,VERIFIED,Y,N,N,Y,Y, ,13,260,260,520, ,AZ, ,  
WAZP99-0537,2003,1,LITTLE COLORADO RIVER,5/29/03,1,SAMPLEABLE,WADEABLE,Y,34.98244,-110.59039,34.98189,-110.58989,34,58,57,110,35,25,34,58,55,110,35,24,3D,Y,VERIFIED,Y,N,N,N,N, ,8,160,160,320, ,AZ, ,  
WAZP99-0539,2000,1,WEST CLEAR CREEK,5/22/00,1,SAMPLEABLE,WADEABLE,Y,34.52014,-111.78366,34.52,-111.783889,34,31,13,111,47,1,34,31,12,111,47,2,3D,Y,VERIFIED,Y,N,N,Y,Y, ,18,75,75,150, ,AZ, ,  
WAZP99-0545,2000,1,BLACK RIVER,6/5/00,1,SAMPLEABLE,WADEABLE,Y,33.9124,-109.35581,33.912222,-109.355833,33,54,45,109,21,21,33,54,44,109,21,21,3D,Y,VERIFIED,Y,Y,N,Y,Y, ,3,75,75,150, ,AZ, ,  
WAZP99-0551,2000,1,COON CREEK,5/24/00,1,SAMPLEABLE,WADEABLE,Y,33.71258,-110.84657,33.714167,-110.847778,33,42,45,110,50,48,33,42,51,110,50,52,3D,Y,VERIFIED,Y,N,N,Y,Y, ,3,75,75,150, ,AZ, ,  
WAZP99-0568,2000,1,SANTA MARIA RIVER,5/20/00,1,SAMPLEABLE,INTWADE,Y,34.35257,-113.21808,34.3525,-113.219167,34,21,9,113,13,5,34,21,9,113,13,9,3D,Y,VERIFIED,Y,N,N,N,Y, ,1,30,120,150, ,AZ, ,  
WAZP99-0569,2000,1,KP CREEK,6/6/00,1,SAMPLEABLE,WADEABLE,Y,33.59193,-109.32201,33.592222,-109.321944,33,35,31,109,19,19,33,35,32,109,19,19,3D,Y,VERIFIED,Y,Y,N,N,Y, ,3,75,75,150, ,AZ, ,  
WAZP99-0590,2002,1,BRIGHT ANGEL CANYON,9/15/02,1,SAMPLEABLE,WADEABLE,Y,36.11783,-112.08298,36.11846,-112.08383,36,7,4,112,4,59,36,7,6,112,5,2,3D,Y,VERIFIED,Y,Y,Y,N,Y, ,5,100,100,200,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0598,2000,1,CANYON CREEK,5/23/00,1,SAMPLEABLE,WADEABLE,Y,34.29193,-110.81325,34.291944,-110.813333,34,17,31,110,48,48,34,17,31,110,48,48,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,AZ, ,  
WAZP99-0599,2004,1,GILA RIVER,6/29/04,1,SAMPLEABLE,WADEABLE,Y,32.84097,-109.57963,32.84071,-109.58206,32,50,27,109,34,47,32,50,27,109,34,55,3D,Y,VERIFIED,Y,N,N,N,N, ,10,200,200,400, ,AZ, ,  
