,COMID,LON_DD,LAT_DD,region_vpu,CatArea,WsArea,CatPctFull,WsPctFull,PctImp2006Cat,PctImp2006Ws
1,6005,-68.09774,45.45344,NE_01,2.3616,17.8038,100,100,0.269054878,0.100647053
2,720058,-69.438582,46.435407,NE_01,26.8686,39.2607,100,100,0,0
3,803487,-68.02482,46.9965,NE_01,0.9027,61.8039,100,100,3.607178465,0.162106275
4,816563,-67.79674,46.63766,NE_01,9.3258,47.7297,57.72051727,65.58557879,0.692526333,0.659536542
5,817075,-67.8557,46.3041,NE_01,3.9195,302.3532,100,100,1.297129736,0.039631133
6,1023634,-70.099792,45.690392,NE_01,10.6524,40.5423,100,100,0,0
7,1032273,-70.75558,45.37608,NE_01,0.3303,47.4237,100,99.50088247,3.950953678,0.18699218
8,1701588,-69.848482,45.945036,NE_01,11.3706,11.3706,100,100,0.015038784,0.015038784
9,1719285,-68.8517,45.29801,NE_01,3.6981,114.075,100,100,0.015818934,0.055763314
10,1735618,-68.99748,44.96026,NE_01,0.1953,247.0653,100,100,1.248847926,0.985130247
11,2679630,-68.39244,44.77489,NE_01,1.0764,30.7323,100,100,0.198160535,0.148563563
12,3319586,-70.01658,45.1809,NE_01,5.5611,31.2372,100,100,0,0.018583612
13,3320216,-69.55696,44.98335,NE_01,16.9029,127.3851,100,100,1.654012033,0.463935735
14,3323290,-70.38491,44.89172,NE_01,45.0909,375.5997,100,100,1.409353107,0.380501901
15,4287419,-68.90787,47.16987,NE_01,0.6309,27.1782,100,100,4.452211127,0.119080734
16,4288323,-69.014956,47.11112,NE_01,4.8789,11.3346,100,100,0,0
17,4289283,-69.717,46.8218,NE_01,5.0508,244.2663,100,68.29890165,0,0
18,4570571,-71.9639,44.5603,NE_01,11.3202,208.9143,100,100,3.287247575,0.630667695
19,4571115,-72.0714,44.5808,NE_01,16.1064,79.2135,100,100,1.696133214,1.0504005
20,4571115,-72.07137,44.58082,NE_01,16.1064,79.2135,100,100,1.696133214,1.0504005
21,4592175,-71.28039,45.02828,NE_01,0.1845,33.2379,100,100,0.551219512,0.00305976
22,4599835,-72.1368,44.8061,NE_01,6.7176,93.3705,100,100,1.466907824,0.668138224
23,5194912,-67.8623,45.8845,NE_01,9.7119,9.7119,100,100,0.224353628,0.224353628
24,5844524,-70.9967,43.3365,NE_01,1.3905,151.1649,100,100,13.40647249,2.005798965
25,5845376,-70.5568,43.43982,NE_01,15.5727,71.8317,100,100,1.232503034,1.226642276
26,5867107,-71.2981,42.0904,NE_01,2.412,3.2139,100,100,8.856343284,7.475217026
27,5876131,-70.8737,42.1285,NE_01,0.8487,9.513,100,100,13.20890774,20.67757805
28,5881749,-71.1295,41.5589,NE_01,3.7602,102.0852,100,100,4.987553854,13.09381282
29,6078267,-71.7912,42.4109,NE_01,4.2471,79.5888,100,100,6.726213181,1.574871087
30,6083515,-72.7115,43.946,NE_01,1.6488,120.2805,100,100,1.380458515,0.388866026
31,6140070,-71.699,41.539,NE_01,6.4755,147.8673,100,100,8.990687978,1.563771706
32,6162915,-72.3036,41.9508,NE_01,9.9675,139.9977,100,100,2.993950339,1.493349534
33,6162915,-72.3036,41.9508,NE_01,9.9675,139.9977,100,100,2.993950339,1.493349534
34,6168282,-72.1953,41.5979,NE_01,7.1352,32.301,100,100,0.543642785,0.867066035
35,6174422,-72.8683,41.6369,NE_01,21.3147,51.8616,100,100,25.63269012,25.10226642
36,6710089,-70.8574,44.5631,NE_01,16.2207,60.5025,100,100,0.592853576,0.316325772
37,6744336,-71.3463,42.8474,NE_01,0.7164,79.5816,100,100,20.87562814,14.53605356
38,6764058,-71.9962,42.911,NE_01,0.4914,66.3012,100,100,0.633699634,0.253665092
39,6778601,-72.5282,42.5346,NE_01,0.4545,1.2915,100,100,2.271287129,0.799303136
40,7700846,-72.4282,41.5753,NE_01,7.7652,220.3227,100,100,0.468822439,2.021817543
41,7712072,-73.3305,41.8804,NE_01,1.7883,8.0793,100,100,0.163059889,0.30344213
42,7731555,-73.4411,41.324,NE_01,0.3528,23.2398,100,100,0.165816327,1.204050809
43,7731665,-73.3948,41.2945,NE_01,0.7695,53.649,100,100,0.50877193,1.267186714
44,9315839,-71.3746,43.86,NE_01,8.1342,82.1601,100,100,0.435605222,0.122227212
45,9316337,-71.1469,43.7479,NE_01,2.871,86.9031,100,100,3.71661442,0.44479541
46,9326354,-71.9818,43.6961,NE_01,18.4059,42.9489,100,100,0.33616938,0.233293519
47,9326354,-71.981829,43.696105,NE_01,18.4059,42.9489,100,100,0.33616938,0.233293519
48,9330686,-72.3491,43.1519,NE_01,1.215,31.7745,100,100,1.466666667,0.590029741
49,10294622,-72.6711,42.7033,NE_01,5.4504,109.1817,100,100,0.496202114,0.255817596
50,19334295,-71.24184,44.81188,NE_01,4.6899,52.0182,100,100,0.185568989,0.153621233
51,2587891,-75.040654,40.814841,MA_02,1.8099,4.6692,100,100,0.329189458,1.796838859
52,2604777,-76.083738,40.86913,MA_02,6.1155,9.4725,100,100,0.026195732,0.657577197
53,3246788,-74.43932,42.501044,MA_02,17.6463,17.6463,100,100,0.033610445,0.033610445
